  index  info      parent    right_sibling
-------  ------  --------  ---------------
      1  S              0                0
      2  a              1                0
      3  B              1                2
      4  b              3                0
      5  S              3                4
      6  a              5                0
      7  B              5                6
      8  a              7                0
      9  B              7                8
     10  B              7                9
     11  b              9                0
     12  b             10                0
