  index  info                  parent    right_sibling
-------  ------------------  --------  ---------------
      1  program                    0                0
      2  START                      1                0
      3  compound_statement         1                2
      4  {                          3                0
      5  statement_list             3                4
      6  }                          3                5
      7  statement                  5                0
      8  statement_list             5                7
      9  simple_statement           7                0
     10  statement                  8                0
     11  declaration                9                0
     12  statement_list             8               10
     13  simple_statement          10                0
     14  type                      11                0
     15  statement                 12                0
     16  declaration               13                0
     17  IDENTIFIER                11               14
     18  ;                         11               17
     19  simple_type               14                0
     20  statement_list            12               15
     21  simple_statement          15                0
     22  type                      16                0
     23  int                       19                0
     24  statement                 20                0
     25  declaration               21                0
     26  IDENTIFIER                16               22
     27  ;                         16               26
     28  simple_type               22                0
     29  statement_list            20               24
     30  simple_statement          24                0
     31  type                      25                0
     32  int                       28                0
     33  statement                 29                0
     34  declaration               30                0
     35  IDENTIFIER                25               31
     36  ;                         25               35
     37  simple_type               31                0
     38  statement_list            29               33
     39  simple_statement          33                0
     40  type                      34                0
     41  int                       37                0
     42  statement                 38                0
     43  assign_statement          39                0
     44  IDENTIFIER                34               40
     45  ;                         34               44
     46  simple_type               40                0
     47  statement_list            38               42
     48  simple_statement          42                0
     49  IDENTIFIER                43                0
     50  int                       46                0
     51  statement                 47                0
     52  io_statement              48                0
     53  =                         43               49
     54  expression                43               53
     55  ;                         43               54
     56  statement_list            47               51
     57  simple_statement          51                0
     58  read_statement            52                0
     59  CONSTANT                  54                0
     60  statement                 56                0
     61  io_statement              57                0
     62  read                      58                0
     63  statement_list            56               60
     64  struct_statement          60                0
     65  read_statement            61                0
     66  (                         58               62
     67  IDENTIFIER                58               66
     68  )                         58               67
     69  ;                         58               68
     70  statement                 63                0
     71  for_statement             64                0
     72  read                      65                0
     73  simple_statement          70                0
     74  for                       71                0
     75  (                         65               72
     76  IDENTIFIER                65               75
     77  )                         65               76
     78  ;                         65               77
     79  io_statement              73                0
     80  (                         71               74
     81  assign_statement          71               80
     82  condition                 71               81
     83  ;                         71               82
     84  assign_statement          71               83
     85  )                         71               84
     86  compound_statement        71               85
     87  write_statement           79                0
     88  IDENTIFIER                81                0
     89  expression                82                0
     90  IDENTIFIER                84                0
     91  {                         86                0
     92  write                     87                0
     93  =                         81               88
     94  expression                81               93
     95  ;                         81               94
     96  RELATION                  82               89
     97  expression                82               96
     98  number_expression         89                0
     99  =                         84               90
    100  expression                84               99
    101  ;                         84              100
    102  statement_list            86               91
    103  }                         86              102
    104  (                         87               92
    105  id                        87              104
    106  )                         87              105
    107  ;                         87              106
    108  number_expression         94                0
    109  <                         96                0
    110  number_expression         97                0
    111  IDENTIFIER                98                0
    112  number_expression        100                0
    113  statement                102                0
    114  IDENTIFIER               105                0
    115  IDENTIFIER               108                0
    116  IDENTIFIER               110                0
    117  IDENTIFIER               112                0
    118  statement_list           102              113
    119  simple_statement         113                0
    120  OPERATOR                 112              117
    121  number_expression        112              120
    122  statement                118                0
    123  io_statement             119                0
    124  +                        120                0
    125  CONSTANT                 121                0
    126  simple_statement         122                0
    127  read_statement           123                0
    128  assign_statement         126                0
    129  read                     127                0
    130  IDENTIFIER               128                0
    131  (                        127              129
    132  IDENTIFIER               127              131
    133  )                        127              132
    134  ;                        127              133
    135  =                        128              130
    136  expression               128              135
    137  ;                        128              136
    138  number_expression        136                0
    139  IDENTIFIER               138                0
    140  OPERATOR                 138              139
    141  number_expression        138              140
    142  +                        140                0
    143  IDENTIFIER               141                0
